model,threshold,tp,fp,recall,fpr,precision
ratio,2.1072516758074347,15,76,1.0,0.3877551020408163,0.16483516483516483
ratio,2.0865971972691337,15,77,1.0,0.39285714285714285,0.16304347826086957
ratio,2.0380896226415093,15,78,1.0,0.3979591836734694,0.16129032258064516
ratio,1.968314763231198,15,80,1.0,0.40816326530612246,0.15789473684210525
ratio,1.9237028486739913,15,81,1.0,0.413265306122449,0.15625
ratio,1.8290935046395431,15,82,1.0,0.41836734693877553,0.15463917525773196
ratio,1.8183344526527874,15,83,1.0,0.42346938775510207,0.15306122448979592
ratio,1.8062157221206583,15,84,1.0,0.42857142857142855,0.15151515151515152
ratio,1.7879858657243817,15,85,1.0,0.4336734693877551,0.15
ratio,1.7707991803278689,15,86,1.0,0.4387755102040816,0.1485148514851485
ratio,1.6959459459459458,15,88,1.0,0.4489795918367347,0.14563106796116504
ratio,1.6762672811059909,15,90,1.0,0.45918367346938777,0.14285714285714285
ratio,1.6663090128755367,15,91,1.0,0.4642857142857143,0.14150943396226415
ratio,1.6623989218328838,15,93,1.0,0.4744897959183674,0.1388888888888889
ratio,1.635989010989011,15,94,1.0,0.47959183673469385,0.13761467889908258
ratio,1.624390243902439,15,95,1.0,0.4846938775510204,0.13636363636363635
ratio,1.61577350859454,15,96,1.0,0.4897959183673469,0.13513513513513514
ratio,1.5762463343108504,15,97,1.0,0.49489795918367346,0.13392857142857142
ratio,1.531594784353059,15,98,1.0,0.5,0.13274336283185842
ratio,1.5065394132202192,15,99,1.0,0.5051020408163265,0.13157894736842105
ratio,1.4955752212389382,15,100,1.0,0.5102040816326531,0.13043478260869565
ratio,1.4942222222222221,15,101,1.0,0.5153061224489796,0.12931034482758622
ratio,1.3221601489757915,15,102,1.0,0.5204081632653061,0.1282051282051282
ratio,1.291923419577564,15,103,1.0,0.5255102040816326,0.1271186440677966
ratio,1.2033983579939167,15,104,1.0,0.5306122448979592,0.12605042016806722
ratio,1.1809888579387187,15,105,1.0,0.5357142857142857,0.125
ratio,1.0945014112687128,15,106,1.0,0.5408163265306123,0.12396694214876033
ratio,1.0645011350124312,15,107,1.0,0.5459183673469388,0.12295081967213115
ratio,1.0524677634504225,15,108,1.0,0.5510204081632653,0.12195121951219512
ratio,1.0432985986345669,15,109,1.0,0.5561224489795918,0.12096774193548387
ratio,0.0,15,196,1.0,1.0,0.07109004739336493
eb05,inf,0,0,0.0,0.0,
eb05,6.997235229440792,1,0,0.06666666666666667,0.0,1.0
eb05,5.0241120974514635,2,0,0.13333333333333333,0.0,1.0
eb05,4.835155376461379,3,0,0.2,0.0,1.0
eb05,4.781641360125224,4,0,0.26666666666666666,0.0,1.0
eb05,4.487453912355054,5,0,0.3333333333333333,0.0,1.0
eb05,4.290328642019018,5,1,0.3333333333333333,0.00510204081632653,0.8333333333333334
eb05,3.6067660987086225,6,1,0.4,0.00510204081632653,0.8571428571428571
eb05,2.8167153233620805,7,1,0.4666666666666667,0.00510204081632653,0.875
eb05,2.5182672281353797,8,1,0.5333333333333333,0.00510204081632653,0.8888888888888888
eb05,2.3607308197974857,9,1,0.6,0.00510204081632653,0.9
eb05,2.1058287007603798,10,1,0.6666666666666666,0.00510204081632653,0.9090909090909091
eb05,2.082124524216517,10,2,0.6666666666666666,0.01020408163265306,0.8333333333333334
eb05,1.930698066113296,11,2,0.7333333333333333,0.01020408163265306,0.8461538461538461
eb05,1.8990866949437717,12,2,0.8,0.01020408163265306,0.8571428571428571
eb05,1.8926612865088965,13,2,0.8666666666666667,0.01020408163265306,0.8666666666666667
eb05,1.7309302263274986,14,2,0.9333333333333333,0.01020408163265306,0.875
eb05,1.6340820498776978,14,3,0.9333333333333333,0.015306122448979591,0.8235294117647058
eb05,1.6095527135847465,15,3,1.0,0.015306122448979591,0.8333333333333334
eb05,1.5709356243540653,15,4,1.0,0.02040816326530612,0.7894736842105263
eb05,1.5392170890988615,15,6,1.0,0.030612244897959183,0.7142857142857143
eb05,1.5265613183163445,15,7,1.0,0.03571428571428571,0.6818181818181818
eb05,1.5244847969772823,15,8,1.0,0.04081632653061224,0.6521739130434783
eb05,1.5203916054664206,15,9,1.0,0.04591836734693878,0.625
eb05,1.4871683371421,15,10,1.0,0.05102040816326531,0.6
eb05,1.435737760382932,15,11,1.0,0.05612244897959184,0.5769230769230769
eb05,1.4344964669199787,15,12,1.0,0.061224489795918366,0.5555555555555556
